,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25
2021-09-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03 05:00:00,0.093719142415273,0.0261837250133439,0.255608484034214,0.255608484034214,0.093719142415273,0.093719142415273,0.005570452490992,0.0,0.093719142415273,0.255608484034214,0.255608484034214,0.093719142415273,0.093719142415273,0.038883278650393,0.038883278650393,0.0,0.013702504769581,0.013702504769581,0.093719142415273,0.0,0.038883278650393,0.255608484034214,0.0,0.0,0.038883278650393
2021-09-03 06:00:00,0.260119932508618,0.00800482100704,0.4843177328899699,0.4843177328899699,0.260119932508618,0.260119932508618,0.163057493601659,0.009803037420171,0.260119932508618,0.4843177328899699,0.4843177328899699,0.260119932508618,0.260119932508618,0.089297530255941,0.089297530255941,0.009803037420171,0.096213577383618,0.096213577383618,0.260119932508618,0.009803037420171,0.089297530255941,0.4843177328899699,0.295284781401493,0.009803037420171,0.089297530255941
2021-09-03 07:00:00,0.261563449911422,0.01671101833703,0.619187164163425,0.619187164163425,0.261563449911422,0.261563449911422,0.194144935424047,0.060322821557664,0.261563449911422,0.619187164163425,0.619187164163425,0.261563449911422,0.261563449911422,0.210519517953873,0.210519517953873,0.060322821557664,0.130788670642354,0.130788670642354,0.261563449911422,0.060322821557664,0.210519517953873,0.619187164163425,0.285837570047617,0.060322821557664,0.210519517953873
2021-09-03 08:00:00,0.259509802168611,0.037971591222706,0.735416263156526,0.735416263156526,0.259509802168611,0.259509802168611,0.233897722961889,0.038594301638951,0.259509802168611,0.735416263156526,0.735416263156526,0.259509802168611,0.259509802168611,0.202256960551846,0.202256960551846,0.038594301638951,0.254899429749692,0.254899429749692,0.259509802168611,0.038594301638951,0.202256960551846,0.735416263156526,0.161794880625151,0.038594301638951,0.202256960551846
2021-09-03 09:00:00,0.296922880380353,0.112375022402008,0.7866044532663851,0.7866044532663851,0.296922880380353,0.296922880380353,0.130507862445919,0.5721161983172379,0.296922880380353,0.7866044532663851,0.7866044532663851,0.296922880380353,0.296922880380353,0.504941828442579,0.504941828442579,0.5721161983172379,0.453519001599102,0.453519001599102,0.296922880380353,0.5721161983172379,0.504941828442579,0.7866044532663851,0.220489982170822,0.5721161983172379,0.504941828442579
2021-09-03 10:00:00,0.2661171122349,0.346578188606286,0.7822267765243299,0.7822267765243299,0.2661171122349,0.2661171122349,0.3526919768395949,0.329492639594788,0.2661171122349,0.7822267765243299,0.7822267765243299,0.2661171122349,0.2661171122349,0.204694210364196,0.204694210364196,0.329492639594788,0.589382020198908,0.589382020198908,0.2661171122349,0.329492639594788,0.204694210364196,0.7822267765243299,0.633646478114421,0.329492639594788,0.204694210364196
2021-09-03 11:00:00,0.430048196980107,0.468884892966649,0.7195684688632651,0.7195684688632651,0.430048196980107,0.430048196980107,0.110423073653223,0.24958933481814,0.430048196980107,0.7195684688632651,0.7195684688632651,0.430048196980107,0.430048196980107,0.15729453994775,0.15729453994775,0.24958933481814,0.7031461890265289,0.7031461890265289,0.430048196980107,0.24958933481814,0.15729453994775,0.7195684688632651,0.2179138838587039,0.24958933481814,0.15729453994775
2021-09-03 12:00:00,0.274895807466097,0.601237154988286,0.5683321883508821,0.5683321883508821,0.274895807466097,0.274895807466097,0.2525808356721949,0.15502262121783,0.274895807466097,0.5683321883508821,0.5683321883508821,0.274895807466097,0.274895807466097,0.369289811222798,0.369289811222798,0.15502262121783,0.8148811784048019,0.8148811784048019,0.274895807466097,0.15502262121783,0.369289811222798,0.5683321883508821,0.6028780165417739,0.15502262121783,0.369289811222798
2021-09-03 13:00:00,0.200945780083947,0.452007268485336,0.316075209532467,0.316075209532467,0.200945780083947,0.200945780083947,0.37741702800641,0.7601170635930459,0.200945780083947,0.316075209532467,0.316075209532467,0.200945780083947,0.200945780083947,0.71986727943327,0.71986727943327,0.7601170635930459,0.820568860420364,0.820568860420364,0.200945780083947,0.7601170635930459,0.71986727943327,0.316075209532467,0.41381152052428,0.7601170635930459,0.71986727943327
2021-09-03 14:00:00,0.1053934198258669,0.7797567116809341,0.290095215953881,0.290095215953881,0.1053934198258669,0.1053934198258669,0.147173220417028,0.661600915806188,0.1053934198258669,0.290095215953881,0.290095215953881,0.1053934198258669,0.1053934198258669,0.32131123069346,0.32131123069346,0.661600915806188,0.290119956866654,0.290119956866654,0.1053934198258669,0.661600915806188,0.32131123069346,0.290095215953881,0.2735390325826219,0.661600915806188,0.32131123069346
2021-09-03 15:00:00,0.048891260835729,0.669784354737201,0.091310181924583,0.091310181924583,0.048891260835729,0.048891260835729,0.176647845026661,0.237118815288155,0.048891260835729,0.091310181924583,0.091310181924583,0.048891260835729,0.048891260835729,0.193921871348749,0.193921871348749,0.237118815288155,0.0675035754447579,0.0675035754447579,0.048891260835729,0.237118815288155,0.193921871348749,0.091310181924583,0.112880420565293,0.237118815288155,0.193921871348749
